"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"109","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0816326530612245,17346290.5060283,233252519.965662,343201925.283276,0.0561064080932668,18067818.5803404
"110","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0918367346938775,16824996.9095833,203741798.672846,343201925.283276,0.0561064080932668,18067818.5803404
"111","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.102040816326531,16243614.9820242,179466069.419327,343201925.283276,0.0561064080932668,18067818.5803404
"112","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.112244897959184,15627319.7493982,159213065.821721,343201925.283276,0.0561064080932668,18067818.5803404
"113","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.122448979591837,14992617.9214927,142104355.483008,343201925.283276,0.0561064080932668,18067818.5803404
"114","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.13265306122449,14350556.9690406,127491288.912088,343201925.283276,0.0561064080932668,18067818.5803404
"115","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.142857142857143,13708766.1671995,114887438.992512,343201925.283276,0.0561064080932668,18067818.5803404
"116","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.153061224489796,13072433.7989095,103920692.803514,343201925.283276,0.0561064080932668,18067818.5803404
"117","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.163265306122449,12445839.94266,94307976.3578872,343201925.283276,0.0561064080932668,18067818.5803404
"118","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.173469387755102,11831153.9512406,85820002.5405681,343201925.283276,0.0561064080932668,18067818.5803404
"119","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.183673469387755,11230930.974816,78282627.9919495,343201925.283276,0.0561064080932668,18067818.5803404
"120","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.193877551020408,10646075.190066,71548941.4943594,343201925.283276,0.0561064080932668,18067818.5803404
"121","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.204081632653061,10077565.1733754,65502793.6473342,343201925.283276,0.0561064080932668,18067818.5803404
"122","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.214285714285714,9526075.13159668,60049138.7145944,343201925.283276,0.0561064080932668,18067818.5803404
"123","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.224489795918367,8992194.7721403,55110430.9814396,343201925.283276,0.0561064080932668,18067818.5803404
"124","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.23469387755102,8475712.84061653,50618500.7881551,343201925.283276,0.0561064080932668,18067818.5803404
"125","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.244897959183673,7976776.25028578,46518930.8180823,343201925.283276,0.0561064080932668,18067818.5803404
"126","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.255102040816327,7495275.39234977,42764971.8508504,343201925.283276,0.0561064080932668,18067818.5803404
"127","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.26530612244898,7030993.042315,39316758.958162,343201925.283276,0.0561064080932668,18067818.5803404
"128","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.275510204081633,6583395.36670656,36138821.3583328,343201925.283276,0.0561064080932668,18067818.5803404
"129","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.285714285714286,6152727.75857706,33205034.8832747,343201925.283276,0.0561064080932668,18067818.5803404
"130","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.295918367346939,5738228.70192689,30487899.8986663,343201925.283276,0.0561064080932668,18067818.5803404
"131","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.306122448979592,5339582.20860888,27965867.7564383,343201925.283276,0.0561064080932668,18067818.5803404
"132","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.316326530612245,4956396.70325658,25619889.0280152,343201925.283276,0.0561064080932668,18067818.5803404
"133","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.326530612244898,4588261.66036632,23433263.9051006,343201925.283276,0.0561064080932668,18067818.5803404
"134","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.336734693877551,4234586.97009156,21390453.9312628,343201925.283276,0.0561064080932668,18067818.5803404
"135","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.346938775510204,3894994.13504435,19478768.3640342,343201925.283276,0.0561064080932668,18067818.5803404
"136","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.357142857142857,3569069.29383355,17686822.4603097,343201925.283276,0.0561064080932668,18067818.5803404
